,詞頻
鹽,1347
小黃瓜,913
橄欖油,869
雞蛋,735
黑胡椒,698
洋蔥,675
紅蘿蔔,603
檸檬汁,573
馬鈴薯,570
蛋,491
鹽巴,421
醬油,417
糖,413
水,385
雞胸肉,359
水煮蛋,352
美乃滋,345
沙拉醬,326
檸檬,317
蘋果,317
蒜頭,307
蜂蜜,293
小番茄,277
海鹽,276
米酒,270
酪梨,251
玉米筍,221
蒜末,206
香菜,200
番茄,198
生菜,187
玉米粒,182
胡椒粉,181
奶油,176
辣椒,172
胡椒,169
魚露,164
黑胡椒粉,161
牛奶,160
美生菜,160
黑胡椒粒,158
小蕃茄,153
蕃茄,146
香油,143
牛番茄,141
砂糖,137
花椰菜,129
白芝麻,128
鮪魚罐頭,125
吐司,121
紫洋蔥,119
蔥,119
無鹽奶油,119
高麗菜,119
初榨橄欖油,117
南瓜,117
白醋,115
鮮奶油,113
蘆筍,112
奇異果,111
赤藻醣醇,111
蝦仁,109
蛋黃,107
培根,106
白胡椒粉,105
杏仁粉,104
油,103
秋葵,101
優格,100
麻油,98
沙拉,96
赤藻糖醇,96
美奶滋,96
大蒜,95
萵苣,94
胡蘿蔔,93
葡萄乾,93
火腿,88
杏鮑菇,88
紅酒醋,88
青蔥,87
蘿蔓生菜,87
地瓜,86
桂冠沙拉,84
薑,82
無鋁泡打粉,81
低筋麵粉,80
泡打粉,80
九層塔,79
芒果,78
紅甜椒,78
蔥花,77
蛋白,76
金針菇,74
蒜泥,74
醋,74
羅漢果糖,73
蝦子,73
義大利香料,73
紅椒,73
椰子油,72
玉米,72
牛蕃茄,71
白胡椒,71
椰子細粉,69
起司,68
玫瑰鹽,67
黃甜椒,65
西洋芹,65
四季豆,64
薑片,64
苜蓿芽,64
起司片,63
洋車前子粉,63
香蕉,63
鹽,62
細砂糖,62
巴薩米克醋,62
薄荷葉,61
無糖優格,61
鮭魚,60
板豆腐,60
甜椒,59
鳳梨,58
芹菜,58
起司粉,58
蘑菇,57
胡椒鹽,56
鮮蝦,55
全蛋,55
蘋果醋,54
櫛瓜,54
核桃,54
豆腐,53
鮮奶,53
無糖可可粉,53
迷迭香,53
香草精,52
熱水,52
太白粉,51
蘿蔓,49
草莓,49
椰奶,49
香菇,48
黃椒,48
藍莓,48
味霖,48
味醂,48
堅果,48
黑橄欖,48
紅蘿蔔絲,47
綜合生菜,47
開水,46
肉桂粉,45
番茄醬,45
藜麥,44
青椒,44
黑木耳,44
百里香,44
蘿美生菜,44
薑末,44
奶油乳酪,43
羅勒葉,43
綠花椰菜,42
原味優格,42
白酒,42
芝麻葉,40
彩椒,40
中筋麵粉,40
茄子,40
醬油膏,40
麵粉,40
百香果,39
白酒醋,38
蒜,38
蠔油,37
咖哩粉,37
洋蔥末,37
高筋麵粉,35
酪梨油,35
柴魚片,35
綠竹筍,35
白蝦,35
水煮鮪魚罐頭,34
芝麻醬,34
紅蔥頭,34
沙拉油,34
義大利麵,34
味噌,34
胡麻醬,33
白砂糖,33
可可粉,33
鴻禧菇,32
紅椒粉,32
永新美式沙拉醬,32
椰子粉,32
白花椰菜,32
鴻喜菇,32
芝麻,32
芥末醬,31
桂冠沙拉醬,31
綜合堅果,31
蕃茄醬,31
豬絞肉,31
毛豆,31
辣椒粉,31
芥末籽醬,31
透抽,31
黃芥末醬,30
冷開水,30
柳橙,30
冷壓初榨橄欖油,30
酒,29
起司絲,29
洋蔥絲,29
烏醋,29
青花菜,28
天貝,28
黑芝麻,28
去皮雞胸肉,28
嫩豆腐,28
玉米罐頭,28
花生醬,28
蘿蔓葉,28
黃瓜,28
燕麥,27
匈牙利紅椒粉,27
紅洋蔥,27
火腿片,27
高麗菜絲,27
食用油,27
松子,27
黃芥末,27
白飯,26
水果,26
麵包粉,26
五香粉,26
洋菇,26
薄鹽醬油,26
紅辣椒,26
